id,datetime,time,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count,dayOfWeek
1,2011-01-01 00:00:00,00:00:00,1,0,0,1,9.84,14.395,81,0,16,zaterdag
2,2011-01-01 01:00:00,01:00:00,1,0,0,1,9.02,13.635,80,0,40,zaterdag
3,2011-01-01 02:00:00,02:00:00,1,0,0,1,9.02,13.635,80,0,32,zaterdag
4,2011-01-01 03:00:00,03:00:00,1,0,0,1,9.84,14.395,75,0,13,zaterdag
5,2011-01-01 04:00:00,04:00:00,1,0,0,1,9.84,14.395,75,0,1,zaterdag
6,2011-01-01 05:00:00,05:00:00,1,0,0,2,9.84,12.88,75,60.032,1,zaterdag
7,2011-01-01 06:00:00,06:00:00,1,0,0,1,9.02,13.635,80,0,2,zaterdag
8,2011-01-01 07:00:00,07:00:00,1,0,0,1,8.2,12.88,86,0,3,zaterdag
9,2011-01-01 08:00:00,08:00:00,1,0,0,1,9.84,14.395,75,0,8,zaterdag
10,2011-01-01 09:00:00,09:00:00,1,0,0,1,13.12,17.425,76,0,14,zaterdag
11,2011-01-01 10:00:00,10:00:00,1,0,0,1,15.58,19.695,76,169.979,36,zaterdag
12,2011-01-01 11:00:00,11:00:00,1,0,0,1,14.76,16.665,81,190.012,56,zaterdag
13,2011-01-01 12:00:00,12:00:00,1,0,0,1,17.22,21.21,77,190.012,84,zaterdag
14,2011-01-01 13:00:00,13:00:00,1,0,0,2,18.86,22.725,72,199.995,94,zaterdag
15,2011-01-01 14:00:00,14:00:00,1,0,0,2,18.86,22.725,72,190.012,106,zaterdag
16,2011-01-01 15:00:00,15:00:00,1,0,0,2,18.04,21.97,77,199.995,110,zaterdag
17,2011-01-01 16:00:00,16:00:00,1,0,0,2,17.22,21.21,82,199.995,93,zaterdag
18,2011-01-01 17:00:00,17:00:00,1,0,0,2,18.04,21.97,82,190.012,67,zaterdag
19,2011-01-01 18:00:00,18:00:00,1,0,0,3,17.22,21.21,88,169.979,35,zaterdag
20,2011-01-01 19:00:00,19:00:00,1,0,0,3,17.22,21.21,88,169.979,37,zaterdag
21,2011-01-01 20:00:00,20:00:00,1,0,0,2,16.4,20.455,87,169.979,36,zaterdag
22,2011-01-01 21:00:00,21:00:00,1,0,0,2,16.4,20.455,87,12.998,34,zaterdag
23,2011-01-01 22:00:00,22:00:00,1,0,0,2,16.4,20.455,94,150.013,28,zaterdag
24,2011-01-01 23:00:00,23:00:00,1,0,0,2,18.86,22.725,88,199.995,39,zaterdag
25,2011-01-02 00:00:00,00:00:00,1,0,0,2,18.86,22.725,88,199.995,17,zondag
26,2011-01-02 01:00:00,01:00:00,1,0,0,2,18.04,21.97,94,169.979,17,zondag
27,2011-01-02 02:00:00,02:00:00,1,0,0,2,17.22,21.21,100,190.012,9,zondag
28,2011-01-02 03:00:00,03:00:00,1,0,0,2,18.86,22.725,94,12.998,6,zondag
29,2011-01-02 04:00:00,04:00:00,1,0,0,2,18.86,22.725,94,12.998,3,zondag
30,2011-01-02 06:00:00,06:00:00,1,0,0,3,17.22,21.21,77,199.995,2,zondag
31,2011-01-02 07:00:00,07:00:00,1,0,0,2,16.4,20.455,76,12.998,1,zondag
32,2011-01-02 08:00:00,08:00:00,1,0,0,3,16.4,20.455,71,150.013,8,zondag
33,2011-01-02 09:00:00,09:00:00,1,0,0,2,15.58,19.695,76,150.013,20,zondag
34,2011-01-02 10:00:00,10:00:00,1,0,0,2,14.76,17.425,81,150.013,53,zondag
35,2011-01-02 11:00:00,11:00:00,1,0,0,2,14.76,16.665,71,169.979,70,zondag
36,2011-01-02 12:00:00,12:00:00,1,0,0,2,14.76,16.665,66,199.995,93,zondag
37,2011-01-02 13:00:00,13:00:00,1,0,0,2,14.76,17.425,66,89.981,75,zondag
38,2011-01-02 14:00:00,14:00:00,1,0,0,3,14.76,17.425,76,12.998,59,zondag
39,2011-01-02 15:00:00,15:00:00,1,0,0,3,13.94,16.665,81,110.014,74,zondag
40,2011-01-02 16:00:00,16:00:00,1,0,0,3,13.94,16.665,71,110.014,76,zondag
41,2011-01-02 17:00:00,17:00:00,1,0,0,1,13.94,16.665,57,12.998,65,zondag
42,2011-01-02 18:00:00,18:00:00,1,0,0,2,14.76,16.665,46,220.028,53,zondag
43,2011-01-02 19:00:00,19:00:00,1,0,0,1,13.12,14.395,42,300.026,30,zondag
44,2011-01-02 20:00:00,20:00:00,1,0,0,1,12.3,13.635,39,239.994,22,zondag
45,2011-01-02 21:00:00,21:00:00,1,0,0,1,10.66,11.365,44,220.028,31,zondag
46,2011-01-02 22:00:00,22:00:00,1,0,0,1,9.84,10.605,44,199.995,9,zondag
47,2011-01-02 23:00:00,23:00:00,1,0,0,1,9.02,11.365,47,110.014,8,zondag
48,2011-01-03 00:00:00,00:00:00,1,0,1,1,9.02,9.85,44,239.994,5,maandag
49,2011-01-03 01:00:00,01:00:00,1,0,1,1,8.2,8.335,44,279.993,2,maandag
50,2011-01-03 04:00:00,04:00:00,1,0,1,1,6.56,6.82,47,260.027,1,maandag
51,2011-01-03 05:00:00,05:00:00,1,0,1,1,6.56,6.82,47,190.012,3,maandag
52,2011-01-03 06:00:00,06:00:00,1,0,1,1,5.74,5.305,50,260.027,30,maandag
53,2011-01-03 07:00:00,07:00:00,1,0,1,1,5.74,6.82,50,12.998,64,maandag
54,2011-01-03 08:00:00,08:00:00,1,0,1,1,5.74,6.06,50,190.012,154,maandag
